       P1         P2           P3        X     Y
      3.00     500.00      30.00     1   0.00000
      3.00     500.00      30.00     2   0.09978
      3.00     500.00      30.00     3   0.19905
      3.00     500.00      30.00     4   0.29771
      3.00     500.00      30.00     5   0.39564
      3.00     500.00      30.00     6   0.49274
      3.00     500.00      30.00     7   0.58890
      3.00     500.00      30.00     8   0.68402
      3.00     500.00      30.00     9   0.77800
      3.00     500.00      30.00    10   0.87075
      3.00     500.00      30.00    11   0.96215
      3.00     500.00      30.00    12   1.05211
      3.00     500.00      30.00    13   1.14055
      3.00     500.00      30.00    14   1.22737
      3.00     500.00      30.00    15   1.31247
      3.00     500.00      30.00    16   1.39577
      3.00     500.00      30.00    17   1.47719
      3.00     500.00      30.00    18   1.55663
      3.00     500.00      30.00    19   1.63403
      3.00     500.00      30.00    20   1.70930
      3.00     500.00      30.00    21   1.78237
      3.00     500.00      30.00    22   1.85316
      3.00     500.00      30.00    23   1.92161
      3.00     500.00      30.00    24   1.98765
      3.00     500.00      30.00    25   2.05121
      3.00     500.00      30.00    26   2.11223
      3.00     500.00      30.00    27   2.17066
      3.00     500.00      30.00    28   2.22645
      3.00     500.00      30.00    29   2.27953
      3.00     500.00      30.00    30   2.32986
      3.00     500.00      30.00    31   2.37740
      3.00     500.00      30.00    32   2.42211
      3.00     500.00      30.00    33   2.46394
      3.00     500.00      30.00    34   2.50286
      3.00     500.00      30.00    35   2.53884
      3.00     500.00      30.00    36   2.57185
      3.00     500.00      30.00    37   2.60187
      3.00     500.00      30.00    38   2.62888
      3.00     500.00      30.00    39   2.65285
      3.00     500.00      30.00    40   2.67377
      3.00     500.00      30.00    41   2.69164
      3.00     500.00      30.00    42   2.70643
      3.00     500.00      30.00    43   2.71816
      3.00     500.00      30.00    44   2.72682
      3.00     500.00      30.00    45   2.73240
      3.00     500.00      30.00    46   2.73493
      3.00     500.00      30.00    47   2.73440
      3.00     500.00      30.00    48   2.73083
      3.00     500.00      30.00    49   2.72423
      3.00     500.00      30.00    50   2.71463
      3.00     500.00      30.00    51   2.70205
      3.00     500.00      30.00    52   2.68651
      3.00     500.00      30.00    53   2.66804
      3.00     500.00      30.00    54   2.64668
      3.00     500.00      30.00    55   2.62246
      3.00     500.00      30.00    56   2.59541
      3.00     500.00      30.00    57   2.56559
      3.00     500.00      30.00    58   2.53303
      3.00     500.00      30.00    59   2.49778
      3.00     500.00      30.00    60   2.45990
      3.00     500.00      30.00    61   2.41942
      3.00     500.00      30.00    62   2.37642
      3.00     500.00      30.00    63   2.33094
      3.00     500.00      30.00    64   2.28305
      3.00     500.00      30.00    65   2.23282
      3.00     500.00      30.00    66   2.18029
      3.00     500.00      30.00    67   2.12556
      3.00     500.00      30.00    68   2.06867
      3.00     500.00      30.00    69   2.00971
      3.00     500.00      30.00    70   1.94875
      3.00     500.00      30.00    71   1.88586
      3.00     500.00      30.00    72   1.82113
      3.00     500.00      30.00    73   1.75463
      3.00     500.00      30.00    74   1.68644
      3.00     500.00      30.00    75   1.61664
      3.00     500.00      30.00    76   1.54533
      3.00     500.00      30.00    77   1.47258
      3.00     500.00      30.00    78   1.39848
      3.00     500.00      30.00    79   1.32313
      3.00     500.00      30.00    80   1.24660
      3.00     500.00      30.00    81   1.16899
      3.00     500.00      30.00    82   1.09038
      3.00     500.00      30.00    83   1.01088
      3.00     500.00      30.00    84   0.93057
      3.00     500.00      30.00    85   0.84955
      3.00     500.00      30.00    86   0.76790
      3.00     500.00      30.00    87   0.68573
      3.00     500.00      30.00    88   0.60312
      3.00     500.00      30.00    89   0.52017
      3.00     500.00      30.00    90   0.43697
      3.00     500.00      30.00    91   0.35362
      3.00     500.00      30.00    92   0.27021
      3.00     500.00      30.00    93   0.18683
      3.00     500.00      30.00    94   0.10357
      3.00     500.00      30.00    95   0.02053
      3.00     500.00      30.00    96  -0.06220
      3.00     500.00      30.00    97  -0.14453
      3.00     500.00      30.00    98  -0.22637
      3.00     500.00      30.00    99  -0.30763
      3.00     500.00      30.00   100  -0.38823
      3.00     500.00      30.00   101  -0.46807
      3.00     500.00      30.00   102  -0.54707
      3.00     500.00      30.00   103  -0.62515
      3.00     500.00      30.00   104  -0.70222
      3.00     500.00      30.00   105  -0.77821
      3.00     500.00      30.00   106  -0.85302
      3.00     500.00      30.00   107  -0.92658
      3.00     500.00      30.00   108  -0.99882
      3.00     500.00      30.00   109  -1.06966
      3.00     500.00      30.00   110  -1.13903
      3.00     500.00      30.00   111  -1.20685
      3.00     500.00      30.00   112  -1.27306
      3.00     500.00      30.00   113  -1.33759
      3.00     500.00      30.00   114  -1.40037
      3.00     500.00      30.00   115  -1.46134
      3.00     500.00      30.00   116  -1.52045
      3.00     500.00      30.00   117  -1.57762
      3.00     500.00      30.00   118  -1.63282
      3.00     500.00      30.00   119  -1.68597
      3.00     500.00      30.00   120  -1.73704
      3.00     500.00      30.00   121  -1.78597
      3.00     500.00      30.00   122  -1.83271
      3.00     500.00      30.00   123  -1.87723
      3.00     500.00      30.00   124  -1.91949
